date,adjpoll_clinton,adjpoll_trump,Music_LeftTroll,Music_RightTroll,Movies_LeftTroll,Movies_RightTroll,Sport_LeftTroll,Sport_RightTroll,Trump_LeftTroll,Trump_RightTroll,Hillary_LeftTroll,Hillary_RightTroll,Hacking_LeftTroll,Hacking_RightTroll,Sanders_LeftTroll,Sanders_RightTroll,Obama_LeftTroll,Obama_RightTroll,Election_LeftTroll,Election_RightTroll,Voter_LeftTroll,Voter_RightTroll,Healthcare_LeftTroll,Healthcare_RightTroll,Gouvernment_LeftTroll,Gouvernment_RightTroll,Religion_LeftTroll,Religion_RightTroll,Conservative_LeftTroll,Conservative_RightTroll,Liberal_LeftTroll,Liberal_RightTroll,Gun_LeftTroll,Gun_RightTroll,Terrorism_LeftTroll,Terrorism_RightTroll,Fear_LeftTroll,Fear_RightTroll,BlackLivesMatter_LeftTroll,BlackLivesMatter_RightTroll,MeToo_LeftTroll,MeToo_RightTroll,FakeNews_LeftTroll,FakeNews_RightTroll,News_LeftTroll,News_RightTroll,Scandal_LeftTroll,Scandal_RightTroll,Economy_LeftTroll,Economy_RightTroll
2015-11-13,44.955033333333326,44.39936,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,37.0,0.0,7.0,0.0,2.0,0.0,4.0,0.0,9.0,0.0,10.0,0.0,25.0,0.0,3.0,1.0,9.0,0.0,8.0,14.0,10.0,0.0,6.0,0.0,8.0,1.0,16.0,0.0,2.0,0.0,8.0
2015-11-15,47.46369,42.957813333333334,13.0,152.0,1.0,28.0,3.0,44.0,10.0,344.0,34.0,304.0,0.0,28.0,2.0,114.0,1.0,84.0,116.0,2856.0,3.0,44.0,1.0,48.0,0.0,30.0,7.0,66.0,37.0,628.0,90.0,2076.0,9.0,153.0,12.0,295.0,1.0,4.0,45.0,165.0,1.0,16.0,0.0,48.0,4.0,81.0,2.0,60.0,1.0,154.0
2015-11-16,45.79736611111111,43.35205833333333,0.0,5.0,0.0,0.0,0.0,0.0,2.0,45.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,59.0,0.0,23.0,0.0,6.0,0.0,6.0,3.0,23.0,0.0,33.0,0.0,59.0,0.0,13.0,0.0,14.0,4.0,92.0,1.0,4.0,12.0,7.0,0.0,0.0,0.0,6.0,0.0,35.0,0.0,3.0,0.0,10.0
2015-11-23,46.09429125,42.585376249999996,0.0,13.0,0.0,1.0,0.0,1.0,1.0,22.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,18.0,0.0,25.0,0.0,32.0,0.0,5.0,0.0,3.0,0.0,25.0,0.0,0.0,3.0,9.0,1.0,8.0,0.0,6.0,0.0,23.0,0.0,6.0,0.0,1.0
2015-11-27,46.40925033333333,42.85977366666667,0.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,9.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,9.0,2.0,20.0,5.0,3.0,5.0,11.0,21.0,8.0,0.0,10.0,34.0,7.0,3.0,4.0,1.0,3.0,7.0,11.0,0.0,4.0,0.0,3.0
2015-11-29,46.646033055555556,42.04593472222222,1.0,7.0,0.0,10.0,0.0,6.0,3.0,16.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,26.0,4.0,24.0,0.0,12.0,0.0,2.0,0.0,16.0,1.0,51.0,0.0,74.0,3.0,13.0,0.0,9.0,4.0,34.0,1.0,14.0,20.0,13.0,1.0,12.0,3.0,16.0,3.0,44.0,0.0,2.0,0.0,7.0
2015-12-02,46.50958071428571,42.129255,0.0,9.0,0.0,1.0,0.0,6.0,9.0,41.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,21.0,0.0,35.0,0.0,14.0,0.0,11.0,0.0,7.0,4.0,29.0,1.0,52.0,0.0,14.0,5.0,9.0,14.0,35.0,1.0,8.0,19.0,26.0,1.0,5.0,3.0,8.0,9.0,22.0,0.0,8.0,0.0,15.0
2015-12-03,45.92612166666665,42.49903690476191,0.0,2.0,0.0,0.0,0.0,3.0,1.0,31.0,1.0,1.0,1.0,8.0,0.0,0.0,1.0,82.0,4.0,43.0,2.0,10.0,4.0,7.0,6.0,64.0,1.0,57.0,1.0,246.0,2.0,104.0,11.0,875.0,43.0,547.0,0.0,10.0,16.0,49.0,4.0,17.0,3.0,7.0,9.0,30.0,0.0,6.0,0.0,5.0
2015-12-06,45.765665952380935,42.492153095238095,12.0,9.0,8.0,13.0,19.0,13.0,17.0,33.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,20.0,4.0,11.0,1.0,11.0,1.0,0.0,4.0,11.0,3.0,34.0,3.0,25.0,2.0,11.0,5.0,42.0,26.0,37.0,1.0,3.0,57.0,5.0,7.0,5.0,10.0,5.0,25.0,19.0,4.0,0.0,2.0,8.0
2015-12-07,46.736503809523796,42.871614285714294,8.0,29.0,3.0,26.0,0.0,19.0,26.0,22.0,0.0,4.0,1.0,8.0,0.0,1.0,16.0,52.0,19.0,28.0,5.0,13.0,2.0,2.0,1.0,7.0,15.0,34.0,12.0,44.0,14.0,21.0,11.0,26.0,36.0,48.0,9.0,20.0,60.0,21.0,11.0,7.0,2.0,7.0,21.0,17.0,0.0,3.0,1.0,10.0
2015-12-10,46.84744333333332,43.32369523809525,2.0,21.0,4.0,19.0,16.0,0.0,29.0,71.0,1.0,29.0,2.0,5.0,0.0,3.0,6.0,44.0,7.0,51.0,4.0,21.0,0.0,1.0,8.0,5.0,5.0,78.0,1.0,49.0,4.0,29.0,5.0,58.0,90.0,38.0,2.0,26.0,75.0,31.0,2.0,11.0,8.0,11.0,12.0,34.0,1.0,9.0,1.0,12.0
2015-12-11,46.72799571428569,43.21390333333335,0.0,25.0,0.0,23.0,0.0,5.0,17.0,69.0,0.0,39.0,0.0,5.0,0.0,7.0,0.0,38.0,6.0,53.0,1.0,6.0,2.0,5.0,4.0,8.0,3.0,42.0,0.0,90.0,4.0,43.0,0.0,33.0,7.0,65.0,1.0,11.0,37.0,39.0,6.0,12.0,2.0,5.0,6.0,27.0,2.0,7.0,2.0,12.0
2015-12-13,45.75044666666664,42.30282761904764,0.0,7.0,7.0,8.0,7.0,4.0,21.0,24.0,0.0,9.0,2.0,2.0,0.0,0.0,1.0,12.0,5.0,7.0,3.0,7.0,1.0,0.0,1.0,3.0,11.0,9.0,0.0,7.0,1.0,4.0,24.0,8.0,29.0,8.0,1.0,1.0,52.0,4.0,2.0,0.0,1.0,3.0,1.0,11.0,0.0,1.0,1.0,1.0
2015-12-14,45.14912047619045,40.387867142857154,11.0,18.0,15.0,25.0,2.0,13.0,22.0,52.0,1.0,13.0,0.0,5.0,0.0,7.0,4.0,24.0,35.0,37.0,7.0,27.0,7.0,5.0,14.0,5.0,6.0,40.0,3.0,52.0,17.0,22.0,33.0,20.0,57.0,60.0,8.0,15.0,72.0,20.0,4.0,10.0,9.0,10.0,13.0,23.0,2.0,7.0,6.0,3.0
2015-12-15,45.107012380952355,38.06813190476191,29.0,35.0,9.0,8.0,9.0,4.0,15.0,101.0,4.0,14.0,9.0,1.0,0.0,3.0,5.0,53.0,22.0,304.0,7.0,11.0,5.0,0.0,3.0,9.0,17.0,77.0,16.0,78.0,26.0,286.0,10.0,54.0,19.0,57.0,10.0,7.0,109.0,6.0,17.0,8.0,23.0,35.0,34.0,36.0,4.0,13.0,6.0,16.0
2015-12-16,44.522351190476165,37.43184452380954,5.0,9.0,1.0,17.0,5.0,3.0,26.0,561.0,4.0,82.0,0.0,10.0,4.0,13.0,5.0,118.0,148.0,2144.0,14.0,51.0,4.0,10.0,6.0,29.0,12.0,104.0,5.0,128.0,139.0,2149.0,2.0,36.0,38.0,92.0,1.0,69.0,53.0,30.0,5.0,21.0,30.0,193.0,38.0,201.0,8.0,60.0,11.0,70.0
2015-12-17,43.98174071428569,36.48691579365081,26.0,20.0,4.0,0.0,0.0,0.0,6.0,51.0,0.0,28.0,2.0,5.0,0.0,0.0,0.0,37.0,7.0,54.0,2.0,14.0,1.0,9.0,1.0,29.0,5.0,63.0,2.0,67.0,3.0,48.0,7.0,13.0,35.0,39.0,5.0,11.0,69.0,7.0,18.0,12.0,6.0,15.0,12.0,18.0,0.0,14.0,6.0,27.0
2015-12-18,43.03841499999998,34.66931674603176,2.0,22.0,2.0,28.0,1.0,8.0,9.0,58.0,3.0,47.0,2.0,8.0,2.0,10.0,3.0,85.0,7.0,54.0,2.0,5.0,2.0,2.0,2.0,18.0,2.0,84.0,0.0,71.0,3.0,44.0,1.0,57.0,11.0,31.0,1.0,5.0,28.0,12.0,1.0,11.0,1.0,3.0,3.0,12.0,0.0,2.0,3.0,4.0
2015-12-19,42.01272404761903,33.14967103174605,1.0,11.0,0.0,4.0,0.0,1.0,5.0,46.0,0.0,13.0,4.0,3.0,6.0,6.0,1.0,35.0,7.0,49.0,0.0,12.0,1.0,10.0,1.0,20.0,2.0,52.0,0.0,33.0,6.0,45.0,2.0,6.0,4.0,27.0,1.0,6.0,16.0,10.0,2.0,14.0,1.0,6.0,5.0,5.0,2.0,6.0,1.0,7.0
2015-12-20,41.935623095238086,33.346486269841286,3.0,15.0,1.0,7.0,0.0,1.0,12.0,31.0,31.0,92.0,3.0,2.0,30.0,36.0,1.0,39.0,74.0,346.0,0.0,6.0,1.0,7.0,0.0,23.0,3.0,32.0,1.0,35.0,71.0,322.0,4.0,30.0,9.0,46.0,3.0,5.0,20.0,13.0,2.0,6.0,1.0,3.0,1.0,25.0,0.0,6.0,5.0,40.0
2015-12-21,41.729921666666655,34.129167698412715,2.0,21.0,1.0,1.0,0.0,4.0,2.0,57.0,0.0,31.0,0.0,6.0,1.0,9.0,0.0,54.0,0.0,53.0,0.0,8.0,0.0,0.0,1.0,19.0,1.0,33.0,0.0,59.0,0.0,37.0,0.0,27.0,12.0,31.0,0.0,10.0,40.0,14.0,3.0,6.0,1.0,13.0,1.0,17.0,0.0,0.0,1.0,7.0
2015-12-22,41.34586904761904,34.74290079365081,0.0,2.0,1.0,1.0,0.0,0.0,2.0,54.0,0.0,62.0,0.0,4.0,0.0,3.0,0.0,31.0,0.0,57.0,0.0,7.0,0.0,1.0,2.0,7.0,0.0,58.0,0.0,59.0,1.0,52.0,2.0,31.0,5.0,28.0,4.0,8.0,24.0,34.0,2.0,21.0,1.0,8.0,2.0,25.0,0.0,7.0,1.0,7.0
2015-12-23,40.71341928571428,34.377556746031765,0.0,2.0,1.0,1.0,0.0,0.0,11.0,54.0,3.0,21.0,0.0,1.0,4.0,13.0,1.0,26.0,6.0,42.0,2.0,8.0,1.0,1.0,5.0,19.0,1.0,20.0,1.0,99.0,3.0,69.0,1.0,372.0,7.0,556.0,2.0,5.0,52.0,27.0,1.0,2.0,3.0,20.0,3.0,21.0,1.0,3.0,0.0,3.0
2015-12-24,40.09170976190476,33.33466071428573,2.0,42.0,0.0,0.0,0.0,0.0,6.0,92.0,0.0,83.0,0.0,0.0,0.0,4.0,0.0,69.0,2.0,45.0,0.0,8.0,1.0,8.0,2.0,14.0,1.0,55.0,1.0,124.0,0.0,42.0,1.0,17.0,13.0,41.0,1.0,34.0,44.0,25.0,1.0,13.0,0.0,23.0,1.0,62.0,0.0,12.0,0.0,19.0
2015-12-25,40.028989285714275,33.760485000000024,10.0,11.0,0.0,30.0,2.0,11.0,4.0,45.0,0.0,54.0,1.0,4.0,1.0,5.0,0.0,75.0,2.0,57.0,1.0,10.0,0.0,9.0,5.0,30.0,0.0,131.0,0.0,114.0,0.0,56.0,4.0,35.0,12.0,77.0,5.0,4.0,102.0,22.0,2.0,23.0,7.0,28.0,16.0,21.0,0.0,7.0,0.0,7.0
2015-12-26,40.15193833333332,33.94383690476193,0.0,20.0,0.0,4.0,1.0,0.0,1.0,41.0,0.0,23.0,0.0,7.0,0.0,1.0,1.0,41.0,2.0,31.0,0.0,3.0,3.0,5.0,1.0,1.0,0.0,40.0,0.0,69.0,2.0,26.0,1.0,20.0,8.0,16.0,2.0,6.0,30.0,10.0,4.0,10.0,3.0,2.0,1.0,5.0,0.0,4.0,1.0,2.0
2015-12-27,40.24641785714284,34.070215476190505,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,5.0,3.0,0.0,0.0,4.0,1.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,13.0,1.0,1.0,5.0,6.0,4.0,1.0,8.0,5.0,1.0,0.0,28.0,5.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2015-12-28,39.65538642857141,34.82504261904764,4.0,0.0,5.0,1.0,0.0,0.0,9.0,10.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,5.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,1.0,5.0,7.0,6.0,9.0,27.0,7.0,20.0,7.0,1.0,0.0,91.0,6.0,1.0,2.0,2.0,0.0,6.0,4.0,0.0,1.0,3.0,1.0
2015-12-29,40.15716571428569,34.77742000000002,4.0,23.0,0.0,0.0,0.0,4.0,3.0,82.0,4.0,22.0,0.0,0.0,0.0,6.0,0.0,34.0,7.0,26.0,0.0,18.0,0.0,9.0,1.0,18.0,0.0,45.0,6.0,56.0,7.0,45.0,6.0,40.0,23.0,26.0,1.0,7.0,59.0,28.0,3.0,18.0,0.0,10.0,5.0,16.0,0.0,2.0,3.0,3.0
2015-12-30,40.18094714285712,34.74617000000002,3.0,2.0,0.0,5.0,3.0,5.0,3.0,46.0,0.0,27.0,3.0,4.0,0.0,7.0,1.0,55.0,1.0,26.0,0.0,2.0,1.0,9.0,2.0,31.0,0.0,50.0,1.0,64.0,0.0,32.0,1.0,17.0,28.0,16.0,3.0,1.0,47.0,11.0,4.0,27.0,5.0,13.0,6.0,14.0,2.0,0.0,1.0,14.0
2015-12-31,40.1191195238095,35.0006485714286,9.0,2.0,0.0,0.0,2.0,1.0,1.0,11.0,0.0,14.0,3.0,1.0,0.0,3.0,0.0,12.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,11.0,2.0,29.0,0.0,4.0,0.0,16.0,3.0,4.0,1.0,1.0,18.0,4.0,5.0,7.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0
2016-01-01,39.97168142857141,35.25512523809527,19.0,0.0,7.0,0.0,5.0,0.0,7.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,10.0,4.0,1.0,1.0,2.0,0.0,3.0,4.0,15.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,13.0,4.0,4.0,0.0,0.0,0.0
2016-01-02,39.86735333333331,35.52347952380955,1.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,2.0,5.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,8.0,2.0,6.0,4.0,7.0,3.0,6.0,2.0,0.0,19.0,5.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2016-01-03,39.4202476190476,36.005938095238115,4.0,0.0,3.0,5.0,0.0,0.0,2.0,22.0,0.0,11.0,0.0,2.0,0.0,1.0,0.0,25.0,0.0,32.0,0.0,7.0,0.0,0.0,0.0,17.0,4.0,26.0,4.0,25.0,0.0,36.0,15.0,6.0,50.0,28.0,4.0,4.0,34.0,31.0,4.0,7.0,15.0,12.0,10.0,19.0,0.0,4.0,0.0,5.0
2016-01-04,40.250739999999986,36.40401619047621,12.0,0.0,1.0,1.0,8.0,0.0,4.0,12.0,2.0,8.0,7.0,0.0,2.0,1.0,0.0,8.0,2.0,7.0,1.0,3.0,1.0,0.0,5.0,2.0,7.0,7.0,14.0,30.0,1.0,10.0,16.0,16.0,110.0,17.0,14.0,1.0,83.0,3.0,8.0,2.0,9.0,2.0,13.0,7.0,0.0,2.0,0.0,0.0
2016-01-05,39.974995238095225,36.60055476190478,0.0,3.0,1.0,0.0,0.0,0.0,9.0,15.0,0.0,12.0,0.0,0.0,2.0,1.0,6.0,18.0,2.0,6.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,11.0,1.0,23.0,0.0,13.0,14.0,36.0,11.0,14.0,0.0,2.0,41.0,1.0,1.0,3.0,4.0,1.0,5.0,5.0,1.0,0.0,4.0,1.0
2016-01-06,39.97074333333332,36.682510476190494,0.0,15.0,2.0,9.0,0.0,0.0,2.0,77.0,1.0,23.0,0.0,0.0,0.0,5.0,2.0,91.0,2.0,60.0,2.0,1.0,1.0,11.0,2.0,35.0,4.0,59.0,0.0,65.0,1.0,42.0,3.0,96.0,13.0,60.0,7.0,36.0,39.0,32.0,0.0,8.0,0.0,26.0,0.0,43.0,1.0,0.0,1.0,13.0
2016-01-07,40.009307619047604,36.607028571428586,20.0,12.0,0.0,4.0,7.0,4.0,4.0,58.0,0.0,67.0,0.0,11.0,1.0,6.0,3.0,49.0,3.0,45.0,0.0,15.0,1.0,7.0,2.0,20.0,5.0,56.0,3.0,63.0,2.0,49.0,1.0,79.0,38.0,78.0,4.0,3.0,69.0,44.0,4.0,28.0,0.0,17.0,10.0,34.0,8.0,8.0,16.0,18.0
2016-01-08,40.4434407142857,37.32527476190477,16.0,0.0,0.0,0.0,15.0,0.0,6.0,6.0,1.0,7.0,1.0,1.0,2.0,1.0,10.0,6.0,29.0,3.0,0.0,1.0,0.0,1.0,16.0,1.0,5.0,9.0,19.0,0.0,17.0,4.0,10.0,8.0,5.0,3.0,3.0,1.0,40.0,3.0,2.0,3.0,0.0,1.0,11.0,1.0,1.0,0.0,15.0,1.0
2016-01-09,41.29065976190475,37.809660952380966,6.0,1.0,5.0,5.0,4.0,3.0,11.0,11.0,0.0,7.0,1.0,0.0,1.0,1.0,1.0,8.0,8.0,7.0,2.0,5.0,8.0,3.0,6.0,5.0,1.0,14.0,13.0,16.0,6.0,6.0,20.0,11.0,22.0,12.0,7.0,7.0,104.0,9.0,6.0,9.0,3.0,5.0,6.0,4.0,22.0,0.0,0.0,2.0
2016-01-10,42.18211190476189,38.58530833333334,1.0,14.0,11.0,9.0,18.0,0.0,4.0,55.0,0.0,48.0,0.0,4.0,7.0,1.0,0.0,60.0,5.0,60.0,0.0,17.0,1.0,7.0,2.0,20.0,0.0,84.0,1.0,42.0,0.0,29.0,3.0,30.0,15.0,34.0,5.0,14.0,75.0,32.0,5.0,38.0,11.0,31.0,12.0,44.0,3.0,4.0,12.0,5.0
2016-01-11,42.15660095238094,37.678852619047625,6.0,6.0,10.0,0.0,0.0,4.0,4.0,38.0,1.0,52.0,0.0,14.0,8.0,10.0,0.0,48.0,10.0,38.0,4.0,4.0,2.0,10.0,5.0,14.0,0.0,36.0,1.0,56.0,6.0,51.0,4.0,17.0,7.0,18.0,1.0,5.0,79.0,2.0,26.0,21.0,10.0,6.0,2.0,19.0,10.0,0.0,7.0,5.0
2016-01-12,42.594468095238085,37.53070357142858,1.0,14.0,4.0,2.0,0.0,2.0,6.0,33.0,3.0,24.0,0.0,7.0,2.0,4.0,2.0,27.0,5.0,31.0,1.0,21.0,1.0,3.0,2.0,13.0,0.0,61.0,0.0,52.0,2.0,25.0,0.0,26.0,6.0,39.0,1.0,14.0,27.0,17.0,1.0,35.0,2.0,5.0,1.0,19.0,0.0,1.0,0.0,5.0
2016-01-13,42.84659476190475,37.43957833333334,1.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,1.0,9.0,0.0,0.0,2.0,5.0,11.0,29.0,5.0,11.0,1.0,4.0,0.0,0.0,6.0,1.0,1.0,18.0,2.0,24.0,3.0,9.0,4.0,13.0,14.0,7.0,3.0,1.0,58.0,4.0,5.0,7.0,0.0,2.0,0.0,4.0,3.0,2.0,2.0,4.0
2016-01-14,43.14406666666666,38.2800042857143,3.0,1.0,2.0,0.0,0.0,6.0,10.0,67.0,0.0,20.0,0.0,0.0,0.0,1.0,3.0,27.0,2.0,21.0,0.0,8.0,0.0,0.0,5.0,6.0,20.0,11.0,0.0,29.0,1.0,14.0,2.0,21.0,13.0,17.0,0.0,1.0,34.0,8.0,3.0,5.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,3.0
2016-01-15,42.72913119047619,37.78100047619049,1.0,7.0,3.0,11.0,1.0,4.0,3.0,124.0,1.0,38.0,0.0,0.0,1.0,11.0,4.0,39.0,19.0,299.0,0.0,38.0,2.0,5.0,2.0,20.0,5.0,26.0,1.0,81.0,19.0,284.0,5.0,29.0,9.0,17.0,2.0,13.0,69.0,23.0,2.0,4.0,1.0,7.0,2.0,23.0,0.0,11.0,0.0,19.0
2016-01-16,41.84378642857143,37.70154476190477,6.0,6.0,1.0,15.0,4.0,0.0,6.0,31.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,16.0,8.0,18.0,1.0,6.0,5.0,1.0,0.0,8.0,0.0,28.0,0.0,20.0,7.0,13.0,4.0,18.0,15.0,19.0,0.0,9.0,40.0,4.0,11.0,11.0,3.0,1.0,8.0,9.0,1.0,7.0,2.0,0.0
2016-01-17,41.17126523809524,37.24493119047621,1.0,4.0,5.0,2.0,5.0,7.0,17.0,9.0,1.0,13.0,3.0,0.0,7.0,8.0,0.0,9.0,23.0,27.0,0.0,7.0,0.0,2.0,13.0,4.0,1.0,17.0,5.0,18.0,15.0,15.0,2.0,19.0,37.0,11.0,1.0,0.0,70.0,3.0,15.0,14.0,1.0,8.0,14.0,28.0,5.0,2.0,9.0,15.0
2016-01-18,40.82330285714285,37.8262292857143,2.0,1.0,0.0,0.0,7.0,0.0,15.0,11.0,2.0,16.0,0.0,2.0,0.0,6.0,5.0,7.0,31.0,14.0,0.0,1.0,0.0,2.0,5.0,5.0,3.0,10.0,7.0,17.0,30.0,22.0,3.0,11.0,11.0,2.0,8.0,2.0,106.0,10.0,7.0,6.0,8.0,2.0,1.0,1.0,9.0,2.0,9.0,3.0
2016-01-19,40.73663261904761,38.98810761904763,9.0,7.0,6.0,1.0,0.0,0.0,7.0,60.0,2.0,25.0,0.0,5.0,7.0,7.0,4.0,22.0,8.0,18.0,8.0,12.0,1.0,12.0,9.0,17.0,5.0,24.0,9.0,58.0,3.0,23.0,1.0,21.0,21.0,2.0,3.0,2.0,42.0,8.0,1.0,8.0,0.0,1.0,10.0,13.0,0.0,3.0,0.0,10.0
2016-01-20,40.85922976190476,39.2698461904762,4.0,0.0,2.0,6.0,1.0,1.0,16.0,29.0,0.0,9.0,1.0,5.0,0.0,6.0,5.0,13.0,10.0,16.0,4.0,7.0,0.0,8.0,13.0,7.0,5.0,13.0,1.0,46.0,5.0,10.0,2.0,12.0,6.0,6.0,0.0,3.0,28.0,21.0,4.0,8.0,1.0,8.0,1.0,15.0,4.0,5.0,0.0,0.0
2016-01-21,41.199728333333326,39.40158325396827,44.0,3.0,10.0,2.0,6.0,0.0,3.0,20.0,0.0,17.0,0.0,3.0,0.0,5.0,10.0,19.0,19.0,15.0,11.0,6.0,3.0,2.0,4.0,6.0,9.0,20.0,0.0,35.0,4.0,13.0,1.0,25.0,5.0,14.0,14.0,3.0,66.0,15.0,10.0,3.0,1.0,3.0,12.0,2.0,5.0,4.0,9.0,2.0
2016-01-22,41.664155952380945,39.19778896825398,11.0,0.0,3.0,3.0,3.0,0.0,1.0,10.0,0.0,7.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,8.0,1.0,10.0,3.0,1.0,3.0,0.0,49.0,10.0,3.0,3.0,0.0,2.0,4.0,1.0,1.0,0.0,5.0,2.0
